l2_id,l1_code,l2_slug,name_ko,description,sort_order,model,generated_at
11-domestic-travel,11,domestic-travel,국내여행,국내 여행 정보 및 리뷰,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-overseas-travel,11,overseas-travel,해외여행,해외 여행 정보 및 리뷰,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-photography,11,travel-photography,여행사진,여행 사진 및 촬영 팁,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-videos,11,travel-videos,여행영상,여행 영상 및 제작 팁,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-blogging,11,travel-blogging,여행블로그,여행 블로그 운영 및 작성 팁,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-english,11,travel-english,여행영어,여행 영어 및 언어 팁,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-safety,11,travel-safety,여행안전,여행 안전 및 주의사항,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-history-facts,12,history-facts,역사 상식,한국 및 세계 역사에 대한 흥미로운 사실,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-science-knowledge,12,science-knowledge,과학 지식,과학 이론 및 원리에 대한 설명,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-culture-criticism,12,culture-criticism,문화 비평,"영화, 음악, 미술 등 문화에 대한 비평",3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-literature-review,12,literature-review,문학 리뷰,책 리뷰 및 작가 소개,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-world-culture,12,world-culture,세계 문화,전 세계 다양한 문화 소개,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-liberal-arts-lecture,12,liberal-arts-lecture,교양 강의,교양 과목 관련 강의 및 자료,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-knowledge-game,12,knowledge-game,지식 놀이,"퀴즈, 게임 등 지식 기반 놀이",7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-common-knowledge-dictionary,12,common-knowledge-dictionary,상식 사전,일상 생활에 필요한 상식 모음,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-academic-research,12,academic-research,학술 연구,다양한 학술 분야 연구 소개,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-cultural-exploration,12,cultural-exploration,문화 탐구,문화 현상 탐구 및 분석,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-essay-guide,12,essay-guide,논술 가이드,논술 작성법 및 팁,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-liberal-arts-reading,12,liberal-arts-reading,교양 독서,교양 관련 도서 리뷰 및 추천,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-humanities-knowledge,12,humanities-knowledge,인문 지식,인문학 관련 지식 및 정보,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-knowledge-column,12,knowledge-column,지식 칼럼,다양한 주제 지식 칼럼,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
12-education-information,12,education-information,교육 정보,교육 관련 정보 및 자료,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-dog-training,13,dog-training,강아지 훈련,강아지 훈련 방법 및 팁,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-cat-food,13,cat-food,고양이 사료,고양이 사료 추천 및 리뷰,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-insurance,13,pet-insurance,펫 보험,펫 보험 정보 및 추천,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-hospital,13,pet-hospital,반려동물 병원,반려동물 병원 정보 및 리뷰,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-product-review,13,pet-product-review,펫 용품 리뷰,펫 용품 리뷰 및 추천,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-dog-health,13,dog-health,강아지 건강,강아지 건강 정보 및 팁,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-cat-behavior,13,cat-behavior,고양이 행동,고양이 행동 이해 및 팁,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-care-tips,13,pet-care-tips,펫 케어 팁,펫 케어 팁 및 정보,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-grooming,13,pet-grooming,반려동물 미용,반려동물 미용 정보 및 팁,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-communication,13,pet-communication,펫 커뮤니케이션,펫 커뮤니케이션 팁 및 정보,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-dog-play,13,dog-play,강아지 놀이,강아지 놀이 방법 및 팁,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-cat-playground,13,cat-playground,고양이 놀이터,고양이 놀이터 추천 및 리뷰,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-photography,13,pet-photography,펫 사진 촬영,펫 사진 촬영 팁 및 정보,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-etiquette,13,pet-etiquette,반려동물 예절,반려동물 예절 정보 및 팁,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
13-pet-living-tips,13,pet-living-tips,펫 생활 팁,펫 생활 팁 및 정보,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-camping-gear,14,camping-gear,캠핑 장비,캠핑용품 리뷰 및 추천,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-hiking-guide,14,hiking-guide,등산 가이드,등산로 정보 및 등산 팁,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-outdoor-fashion,14,outdoor-fashion,아웃도어 패션,아웃도어 활동 위한 패션 아이템,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-fishing-tips,14,fishing-tips,낚시 팁,낚시 기술 및 낚시터 정보,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-car-camping-trip,14,car-camping-trip,차박 여행,차박 여행지 및 차박 팁,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-camping-cooking,14,camping-cooking,캠핑 요리,캠핑 요리법 및 식재료 정보,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-hiking-health,14,hiking-health,등산 건강,등산 관련 건강 정보 및 안전 팁,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-outdoor-safety,14,outdoor-safety,아웃도어 안전,아웃도어 활동 관련 안전 정보,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-camping-sites,14,camping-sites,캠핑 장소,캠핑장 정보 및 추천,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-hiking-gear,14,hiking-gear,등산 장비,등산용품 리뷰 및 추천,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-fishing-gear,14,fishing-gear,낚시 장비,낚시용품 리뷰 및 추천,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-car-camping-essentials,14,car-camping-essentials,차박 준비물,차박 여행 준비물 정보,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-outdoor-events,14,outdoor-events,아웃도어 이벤트,아웃도어 관련 이벤트 정보,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-camping-tips,14,camping-tips,캠핑 노하우,캠핑 관련 팁 및 노하우,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
14-hiking-community,14,hiking-community,등산 커뮤니티,등산 관련 커뮤니티 정보,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
